Position,Company,Location,URL
초고압 전력계통 보호/제어 시험 엔지니어 채용 공고,가보주식회사,경기 안산시,https://www.jobkorea.co.kr/Recruit/GI_Read/40584625?Oem_Code=C1&logpath=1&stext=전력계통&listno=1
전사 안전환경 경력사원 채용(파주) - 전기,엘지이노텍,경기 파주시,https://www.jobkorea.co.kr/Recruit/GI_Read/40790405?Oem_Code=C1&logpath=1&stext=전력계통&listno=2
전사 안전환경 경력사원 채용(파주),엘지이노텍,경기 파주시,https://www.jobkorea.co.kr/Recruit/GI_Read/40790060?Oem_Code=C1&logpath=1&stext=전력계통&listno=3
2023년 인텍전기전자(주) 각 부문 신입/경력 채용,인텍전기전자(주),경기 화성시 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40743943?Oem_Code=C1&logpath=1&stext=전력계통&listno=4
웹프로그래머 / 응용프로그래머  ( 신입 경력 ) 채용,㈜ 호디,서울 마포구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40704797?Oem_Code=C1&logpath=1&stext=전력계통&listno=5
(주)이랜텍 각 부문별 신입 및 경력사원 모집,㈜이랜텍,경기 화성시 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40581580?Oem_Code=C1&logpath=1&stext=전력계통&listno=6
본사 연구개발팀 신입 및 경력사원 모집,㈜이랜텍,경기 화성시,https://www.jobkorea.co.kr/Recruit/GI_Read/40557013?Oem_Code=C1&logpath=1&stext=전력계통&listno=7
[R&D본부]연구분야 수시채용(신입/경력),㈜와이투솔루션 서울지점,경기 의왕시,https://www.jobkorea.co.kr/Recruit/GI_Read/40355462?Oem_Code=C1&logpath=1&stext=전력계통&listno=8
유니슨(주) 풍력본부 분야별 채용(서울),유니슨㈜,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/40225168?Oem_Code=C1&logpath=1&stext=전력계통&listno=9
2023년 1차 Post-doc. 공개채용,한국표준과학연구원,대전 유성구,https://www.jobkorea.co.kr/Recruit/GI_Read/40816887?Oem_Code=C1&logpath=1&stext=전력계통&listno=10
